,low-med,low-high,med-high
MostPop,0.00014663492410535296,0.05953490357322256,0.0814836393640646
UserKNN,0.01713090535226923,0.010121616136414624,0.08378636455778435
ItemKNN,1.5041759663716482e-16,2.750582706842632e-67,1.2606585781826077e-86
UserKNN with means,0.02316608455104147,0.02316608455104147,
BPR,0.3786137593108969,0.0239663233664377,8.365032273256143e-05
MF,6.0592576536261805e-12,2.605242493981957e-35,4.6511324335151874e-21
PMF,0.18078005164219862,0.08801480064932621,0.44688001439127156
NMF,0.0008914215725253912,2.6355316681347328e-05,0.06549342223943398
WMF,0.06418012008160706,0.9604173250806516,0.053545060509928945
HPF,0.5469359114097692,0.012387219164710918,0.00015105582182903731
NeuMF,0.012394143008986676,0.5719441328795611,0.0006194729945497352
VAECF,0.31729132464863397,0.7430466606407546,0.14426653702329945
